2020年09月02日01时06分, 江苏盐城市射阳县(北纬33.74度, 东经120.42度)发生1.4级别地震。
2020年08月26日16时01分, 江苏镇江市句容市(北纬32.13度, 东经119.26度)发生2.0级别地震。
2020年08月21日09时53分, 江苏苏州市吴江区(北纬31.19度, 东经120.67度)发生2.3级别地震。
2020年08月07日01时36分, 江苏南通市启东市海域(北纬31.58度, 东经122.13度)发生1.9级别地震。
2020年08月06日17时03分, 山东枣庄市山亭区(北纬35.16度, 东经117.33度)发生2.2级别地震。
2020年08月05日07时41分, 山东临沂市临沭县(北纬35.02度, 东经118.62度)发生1.3级别地震。
2020年08月02日18时56分, 江苏盐城市阜宁县(北纬33.50度, 东经119.55度)发生1.6级别地震。
2020年07月31日03时27分, 江苏扬州市都江区(北纬32.56度, 东经119.60度)发生1.6级别地震。
2020年07月29日02时20分, 江苏盐城市滨海县、射阳交界海域(北纬34.11度, 东经120.33度)发生1.3级别地震。
2020年07月28日09时46分, 江苏南京市溧水区(北纬31.54度, 东经119.10度)发生2.4级别地震。
2020年07月19日17时23分, 江苏南通市如东县海域(北纬32.44度, 东经121.60度)发生1.3级别地震。
2020年07月09日21时09分, 江苏南通市如东县海域(北纬32.45度, 东经121.60度)发生1.8级别地震。
2020年07月07日14时23分, 山东济宁市任城区(北纬35.39度, 东经116.50度)发生1.8级别地震。
2020年07月06日18时48分, 江苏南通市如东县海域(北纬32.45度, 东经121.59度)发生2.3级别地震。
2020年07月03日08时57分, 江苏南通市如东县海域(北纬32.45度, 东经121.59度)发生3.0级别地震。
2020年07月02日22时35分, 江苏南通市如东县海域(北纬32.64度, 东经121.69度)发生2.0级别地震。
2020年06月27日19时09分, 江苏盐城市射阳县(北纬33.82度, 东经120.20度)发生0.8级别地震。
2020年06月20日07时19分, 黄海海域(北纬32.63度, 东经121.92度)发生2.3级别地震。
2020年06月15日07时15分, 安徽蚌埠市固镇县(北纬33.36度, 东经117.23度)发生1.4级别地震。
2020年06月07日23时08分, 江苏泰州市姜堰区(北纬32.57度, 东经120.10度)发生1.9级别地震。
2020年06月04日01时49分, 黄海海域(北纬32.41度, 东经122.38度)发生2.1级别地震。
2020年05月24日07时23分, 山东济宁市微山县(北纬35.23度, 东经116.59度)发生3.1级别地震。
2020年05月24日07时23分, 山东济宁市微山县(北纬35.23度, 东经116.62度)发生3.1级别地震。
2020年05月19日21时01分, 江苏南通市如东县海域(北纬32.44度, 东经121.74度)发生1.9级别地震。
2020年05月14日03时24分, 江苏盐城市射阳县(北纬33.69度, 东经120.36度)发生1.3级别地震。
2020年05月06日07时24分, 江苏盐城市大丰区海域(北纬33.44度, 东经120.97度)发生2.4级别地震。
2020年04月30日23时59分, 江苏盐城市大丰区海域(北纬33.46度, 东经121.01度)发生2.6级别地震。
